timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689877.8128364,-0.0567,0.0037,-1.0125,0.0,-0.3325,-3.185,-0.1583,0.2411,0.5338
1752689877.86122,-0.0542,0.0028,-1.015,0.2538,-0.0438,-3.0888,-0.1537,0.2372,0.5319
1752689877.9149148,-0.0542,0.0037,-1.015,0.3325,-0.1488,-2.835,-0.1571,0.2384,0.5305
1752689877.9632797,-0.0549,-0.0001,-1.0127,0.2275,-0.1837,-3.15,-0.1558,0.2381,0.5296
1752689878.0169425,-0.0548,0.0029,-1.0122,0.0613,-0.0613,-3.1238,-0.1548,0.2408,0.5265
1752689878.113308,-0.0544,0.0034,-1.0117,0.245,-0.21,-3.1588,-0.1582,0.2391,0.5317
1752689878.1611998,-0.0544,0.0023,-1.0153,0.14,-0.1837,-3.22,-0.1603,0.2421,0.5323
1752689878.182828,-0.0533,0.0032,-1.0116,0.2275,-0.105,-3.1937,-0.1548,0.2394,0.5257
1752689878.222001,-0.0555,0.0011,-1.0122,0.0788,-0.0088,-3.15,-0.1581,0.2395,0.5354
1752689878.2702124,-0.0531,0.0032,-1.0123,0.3588,-0.1138,-3.0363,-0.1592,0.2421,0.5305
1752689878.3240385,-0.0549,0.0056,-1.0141,0.21,-0.2013,-3.1238,-0.1576,0.2414,0.5268
1752689878.3725648,-0.0534,0.0018,-1.0124,0.28,-0.1225,-3.0713,-0.1593,0.243,0.5299
1752689878.4261632,-0.0534,0.0041,-1.0134,0.42,0.0263,-2.9488,-0.1583,0.2423,0.5365
1752689878.4744844,-0.0537,0.0041,-1.0136,0.2975,-0.07,-2.7738,-0.1568,0.239,0.5316
1752689878.5281758,-0.0515,0.003,-1.0114,0.1488,0.105,-3.0888,-0.1551,0.2435,0.523
1752689878.5766394,-0.054,0.0038,-1.0135,0.2538,-0.035,-3.0275,-0.156,0.2416,0.5303
1752689878.631246,-0.054,0.0041,-1.0123,0.0,-0.1312,-3.115,-0.1568,0.2401,0.5281
1752689878.6797209,-0.0524,0.0032,-1.0108,0.3237,-0.1663,-3.0363,-0.1557,0.2414,0.5246
1752689878.73332,-0.0538,0.0034,-1.0147,0.1575,-2.24,-2.94,-0.1555,0.2436,0.5265
1752689878.7817042,-0.054,0.0036,-1.0127,0.035,-0.105,-3.0013,-0.1555,0.244,0.5293
1752689878.8353744,-0.052,0.0063,-1.0299,0.3588,-0.1837,-3.115,-0.1602,0.2409,0.5216
1752689878.8839338,-0.0524,0.0034,-1.0148,0.2362,-0.1663,-3.2288,-0.1588,0.2397,0.5243
1752689878.9373786,-0.0547,0.0052,-1.0131,0.2975,-0.315,-3.0625,-0.1593,0.238,0.5254
1752689878.9857976,-0.054,0.0026,-1.0119,0.2538,-0.1138,-3.1588,-0.1543,0.2386,0.5326
1752689879.040445,-0.0528,0.0036,-1.0149,0.3063,-0.0175,-3.1238,-0.1543,0.2416,0.5372
1752689879.0887406,-0.0556,0.0026,-1.0141,0.21,-0.0525,-3.0275,-0.1574,0.2461,0.5356
1752689879.1425152,-0.0536,0.0026,-1.0147,0.315,-0.0263,-3.0013,-0.1546,0.2435,0.5263
1752689879.2066865,-0.0549,0.0037,-1.0121,0.315,-0.1663,-3.0013,-0.1596,0.2415,0.5317
1752689879.2445514,-0.0526,0.0041,-1.0119,0.2888,-0.035,-3.0363,-0.1554,0.239,0.5293
1752689879.292902,-0.054,0.0023,-1.0129,-0.0263,-0.0438,-3.08,-0.159,0.2395,0.532
1752689879.346572,-0.054,0.0033,-1.0141,0.1837,0.0263,-2.87,-0.1568,0.2409,0.5328
1752689879.3952677,-0.0545,0.0038,-1.0122,0.2362,-0.07,-3.4475,-0.1553,0.2397,0.5328
1752689879.449658,-0.0527,0.0048,-1.0133,0.1575,-0.1575,-3.0625,-0.1578,0.2422,0.5323
1752689879.4980278,-0.0515,0.0021,-1.0123,0.3413,-0.0525,-3.01,-0.1567,0.2415,0.532
1752689879.5517738,-0.0542,0.0042,-1.0126,0.3938,-0.07,-2.905,-0.1561,0.2411,0.5347
1752689879.6003225,-0.0521,0.0032,-1.0114,0.0613,-0.0175,-2.975,-0.1586,0.2407,0.5337
1752689879.6538084,-0.0562,0.0034,-0.9997,0.455,0.0438,-3.08,-0.1606,0.2425,0.5362
1752689879.7023551,-0.0512,0.0018,-1.0127,0.0438,-0.0788,-3.0975,-0.1576,0.2442,0.5375
1752689879.7558422,-0.0539,0.0049,-1.0095,0.2362,-0.1925,-2.9575,-0.1606,0.2418,0.5281
1752689879.8042648,-0.0548,0.0034,-1.0152,0.3763,-0.0963,-3.0013,-0.1571,0.2409,0.5383
1752689879.858921,-0.0533,0.0036,-1.0114,0.4025,-0.2975,-3.0625,-0.1582,0.2369,0.5267
